year,week_num,report_week_label,county_key,county_name,fips,cumul_positive_pools,cumul_avian,cumul_veterinary,cumul_sentinel_chk,cumul_wnv_fever,cumul_wnv_neuro,pools_tested,positive_pools,infection_rate,source,source_note,cumul_positive_pools_prev
2020,51,Week51,Dallas_TX,"Dallas County, TX",48113,481,5,13,4,18,499,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,481
2020,52,Week52,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,481
2020,53,Week53,Dallas_TX,"Dallas County, TX",48113,1,1,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2021,20,Week20,Dallas_TX,"Dallas County, TX",48113,1,0,0,0,0,0,,1,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,0
2021,21,Week21,Dallas_TX,"Dallas County, TX",48113,1,0,0,0,0,0,,0,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2021,22,Week22,Dallas_TX,"Dallas County, TX",48113,5,0,0,0,0,0,,4,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,1
2021,23,Week23,Dallas_TX,"Dallas County, TX",48113,8,0,0,0,0,0,,3,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,5
2021,24,Week24,Dallas_TX,"Dallas County, TX",48113,10,0,0,0,0,0,,2,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,8
2021,25,Week25,Dallas_TX,"Dallas County, TX",48113,14,0,0,0,0,0,,4,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,10
2021,26,Week26,Dallas_TX,"Dallas County, TX",48113,19,0,0,0,0,0,,5,,DSHS_TX_PDF,Cumulative season totals — use _diff_cumulative() for weekly counts.,14
